match_id,date,venue,innings,batting_team,bowling_team,over,ball,over_ball,batsman,non_striker,bowler,runs_batsman,extras,total_runs,is_wicket,dismissal_type,current_score,wickets,ball_number,balls_left,innings_total,first_total,is_chasing,required_runs,required_rr,current_rr,pressure_index,runs_last_6,runs_last_12,player_runs_match,form_5,runs,balls,outs,vs_sr,vs_avg,bowler_type,venue_avg,runs_next_36,target_50
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,7,3,7.3,AB de Villiers,JR Philippe,Rashid Khan,0,0,0,0,,39,2,46,74,120,120,0,81,6.5675675675675675,5.08695652173913,1.291060291060291,6.0,10.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,35.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,7,4,7.4,AB de Villiers,JR Philippe,Rashid Khan,0,0,0,0,,39,2,47,73,120,120,0,81,6.657534246575342,4.9787234042553195,1.3371970495258165,2.0,9.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,31.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,7,5,7.5,AB de Villiers,JR Philippe,Rashid Khan,0,0,0,0,,39,2,48,72,120,120,0,81,6.75,4.875,1.3846153846153846,1.0,9.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,32.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,7,6,7.6,AB de Villiers,JR Philippe,Rashid Khan,0,1,1,0,,40,2,49,71,120,120,0,80,6.76056338028169,4.8979591836734695,1.380281690140845,2.0,10.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,34.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,7,7,7.7,AB de Villiers,JR Philippe,Rashid Khan,2,0,2,0,,42,2,50,70,120,120,0,78,6.685714285714286,5.04,1.326530612244898,3.0,11.0,24,37.5,38,33,1,115.15151515151516,38.0,spin,1.1261682242990654,32.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,8,1,8.1,JR Philippe,AB de Villiers,S Nadeem,2,0,2,0,,44,2,51,69,120,120,0,76,6.608695652173913,5.176470588235294,1.2766798418972332,5.0,12.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,32.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,8,2,8.2,JR Philippe,AB de Villiers,S Nadeem,1,0,1,0,,45,2,52,68,120,120,0,75,6.617647058823529,5.1923076923076925,1.2745098039215685,6.0,12.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,33.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,8,3,8.3,AB de Villiers,JR Philippe,S Nadeem,1,0,1,0,,46,2,53,67,120,120,0,74,6.6268656716417915,5.2075471698113205,1.2725502920181702,7.0,9.0,24,37.5,34,26,1,130.76923076923077,34.0,pace,1.1261682242990654,37.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,8,4,8.4,JR Philippe,AB de Villiers,S Nadeem,4,0,4,0,,50,2,54,66,120,120,0,70,6.363636363636363,5.555555555555555,1.1454545454545455,11.0,12.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,37.0,0
1216502.json,2020-10-31,Sharjah Cricket Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,8,5,8.5,JR Philippe,AB de Villiers,S Nadeem,1,0,1,0,,51,2,55,65,120,120,0,69,6.369230769230769,5.563636363636364,1.1447963800904974,11.0,13.0,32,16.5,15,8,0,187.5,15.0,pace,1.1261682242990654,37.0,0
